,mean_F7,max_F7,min_F7,std_F7,iqr_F7,var_F7,sum_F7,skw_F7,krt_F7,mean_first_diff_F7,mean_second_diff_F7,rms_F7,abssum_F7,ssi_F7,var_F7.1,mav_F7,log_F7,aac_F7,dasdv_F7,dfa_F7,fuzzy_F7,shannon_F7,pe_F7,hjorth_F7,hurst_F7,label
43,0.11753303073375353,0.1434123777203772,0.031566337435530736,0.13413428137608757,0.2968185212500782,0.04248124434975615,0.16423678966829972,0.6737809331213932,0.42307762165967594,0.0966397965933499,0.10309554155277188,0.1223064410575493,0.16423678966829972,0.05696199104518322,0.04220334531757761,0.11753303073375353,0.07371201808980811,0.09870722693797802,0.1062207546830857,0.3423921719226019,0.18666339667160955,0.4000804233727485,0.748492825145068,0.3823863581761554,0.8249087422453608,2
27,1.0,1.0,1.0,1.0,1.0,1.0,0.9825469431933698,0.685680732854285,0.2931347935217418,1.0,1.0,1.0,0.9825469431933698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04947325963208668,0.23454583255966413,0.30102999566398125,0.8518420874238583,0.25261870654589325,1
28,0.39419598848428866,0.39251950859534357,0.030739230952240088,0.3780155565873185,0.8852140929801247,0.2991048323979478,0.4800130416229033,0.6068136416024885,0.2557632336477817,0.23847995843212466,0.2953514743716107,0.3992662479860049,0.4800130416229033,0.406025311073897,0.3117526939485275,0.39419598848428866,0.2363492492688661,0.24404226678831314,0.2927231960584995,0.932791705587202,0.11871768893093443,0.7387553971680729,0.6584570506477258,0.36781460471929434,0.7644061751323429,1
39,0.48951231270456813,0.19198036020386133,1.0,0.14458185518274436,0.36565886919028234,0.04872924496667519,0.18638735703377055,0.4870602256089746,0.10804230989074447,0.1619055920769239,0.10426292423561907,0.34185706363267215,0.18638735703377055,0.10713536310471475,0.2670585155365189,0.48951231270456813,0.8076466959439345,0.15949728595145954,0.11646226697011283,0.22447328768440108,0.22686557131666588,0.6303088911306025,0.30102999566398125,0.5015154076392994,0.2747072229524949,2
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7322150201017289,0.3518445084092607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01400835731633414,0.23454583255966413,0.0,0.4297795736575372,0.23879590914982368,3
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7292705945933081,0.3958070836226054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03461770784274566,0.23454583255966413,0.30102999566398125,0.45669019030461233,0.18121819216460966,1
70,1.0,1.0,0.07608444252342644,1.0,1.0,1.0,1.0,0.8398406558734127,0.6715795313787302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9735123066533261,1.0,1.0,1.0,0.06823714128664331,0.5176987094989813,0.8434644022547297,0.9745133835214494,0.06226032989685451,3
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4864360786833036,0.1443327931452899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7223724442223263,0.0,0.13784838542993885,0.2713423347778678,1
68,1.0,1.0,0.09425646923891147,1.0,1.0,1.0,1.0,0.7565894255204962,0.4722598598684264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06340734066640252,0.5455680346322467,0.843803907630433,0.5090402550808508,0.28879216932517704,3
65,1.0,1.0,0.5484641459953185,1.0,1.0,1.0,1.0,0.7506815792672871,0.4805674870586183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07170636310111751,0.5455680346322467,0.974582203056413,0.43554369918301855,0.38151975587375014,3
